edital_processo,nome_ug,objeto,status,id,produto,unidade,preco_maximo,vl_unit,qtd,vl_total,status,empresa,Valor_Unitario,Valor_Total_Item,Qtd,CNPJ_Vencedor,Nome_da_Empresa
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,153996,"SERVIÇO DE IMPRESSÃO EM LONASERVIÇO DE IMPRESSÃO EM LONA, Contratação de empresa especializada em serviço de confecção de lona vinílica com impressão digital 4/0, sem acabamento, em 280gm à 350gm (m2).",m²,78,78,150,11700,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),78.0,11700.0,150.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,147091,"SERVIÇO DE CONFECÇÃO DE FAIXA, LONA VINÍLICA COM IMPRESSÃO DIGITAL, com acabamento com ponteira de madeira, impressão em lona 280gm à 350gm.",m²,62,62,250,15500,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),62.0,15500.0,250.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,147081,"SERVIÇO DE CONFECÇÃO DE FOLDER, Tamanho 15,5 x 60,5cm em papel couchê, gramatura 150gm e impressão 4x4 em 3 dobras.",unidade,1.26,"1,26",7500,9450,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),1.26,9450.0,7500.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,147086,"SERVIÇO DE CONFECÇÃO DE FOLDER, Tamanho 42 x 30cm em papel couchê, gramatura 90gm e impressão 4x4 em 3 dobras  vertical e horizontal.",unidade,1.1,"1,1",7500,8250,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),1.1,8250.0,7500.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,147121,"SERVIÇO DE CONFECÇÃO DE PLACA, em PVC ADESIVADOS EM VINIL, FORMATO M2, estendido entre 2mm e 6mm, impressão 4/0 (texto e imagem conforme solicitação do contratante). ",m²,180,180,250,45000,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),180.0,45000.0,250.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,153992,"SERVIÇO DE IMPRESSÃO EM LONA, Contratação de empresa especializada em serviço de confecção de lona vinílica com estrutura em metalon parede grossa (copiada); Demais especificações conforme Termo de Referência. ",m²,275.5,"275,5",50,13775,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),275.5,13775.0,50.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,153993,"SERVIÇO DE CONFECÇÃO DE LIVRETO, Material Capa: papel couchê; Gramatura: 150g/m² a 220g/m²  ; Miolo: 90g/m²; Impressão: 4/4; Quantidade de Páginas: 20.  ",unidade,1.4,"1,4",10000,14000,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),1.4,14000.0,10000.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,153994,"SERVIÇO DE CONFECÇÃO DE APOSTILA, Material: papel offset 90g/m², com capa transparente; Encadernação espiral; Quantidade de folhas: 100.",unidade,19.8,"19,8",10000,198000,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),19.8,198000.0,10000.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,153990,"SERVIÇO DE CONFECÇÃO DE LIVRETO, Material Capa: papel couchê; Gramatura: 150g/m² a 220g/m²  ; Miolo: 90g/m²; Impressão: 4/4; Quantidade de Páginas: 14.  ",unidade,2.5,"2,5",10000,25000,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),2.5,25000.0,10000.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,147112,"FLYER, Formato 21x15; Papel couché 180g; Impressão 4/4.",unidade,.49,"0,49",7500,3675,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),0.49,3675.0,7500.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,72460,"VENTAROLA, Descrição: serviço de confecção de ventarola/leque, conforme discriminação em Projeto Básico",unidade,1.1,"1,1",15000,16500,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),1.1,16500.0,15000.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,147132,"SERVIÇO DE CONFECÇÃO DE FOLDER, formato 40,5 x 27,5 em papel couchê 115gm à 150gm com impressão 4/4, com 2 dobras.",unidade,1.15,"1,15",5000,5750,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),1.15,5750.0,5000.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,147083,"SERVIÇO DE CONFECÇÃO DE FOLDER, Formato A3 em papel couchê, gramatura 150gm à 180gm e impressão 4x4, quantidade de dobra 1.",unidade,.9,"0,9",7500,6750,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),0.9,6750.0,7500.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,147082,"SERVIÇO DE CONFECÇÃO DE FOLDER, Tamanho 21 x 30 em papel couchê, gramatura 120gm à 150gm e impressão 4x4 em 2 dobras.",unidade,.53,"0,53",7500,3975,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),0.53,3975.0,7500.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,153262,"SERVIÇO DE PERSONALIZAÇÃO DE ITEM, Contratação de empresa especializada em serviço de confecção de GARRAFA SQUEEZE, material em polipropileno, 330ml personalizada.",unidade,9.75,"9,75",2500,24375,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),9.75,24375.0,2500.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,147118,"SERVIÇO DE IMPRESSÃO EM LONA, Impressão digital (solvete) em lona 400g; Estrutura metálica 8x10 (bumbódromo).",m²,6430,6430,68,437240,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),6430.0,437240.0,68.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,153258,"SERVIÇO DE IMPRESSÃO EM LÂMINA, Impressão em lâmina em papel couchê fosco 180gm à 220gm, com impressão 4/4 tamanhos 14 x 21.",unidade,.35,"0,35",5000,1750,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),0.35,1750.0,5000.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,147117,"SERVIÇO DE CONFECÇÃO DE FOLDER, Tamanho: 21,5cm x 23,5cm; Papel: couchê; Gramatura: 150g/m² a 190g/m²; Impressão: 4x4; 1 dobra. ",unidade,.79,"0,79",7500,5925,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),0.79,5925.0,7500.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,147094,"FLYER, Tamanho em formato 21 x 15, em papel couchê de 170gm e impressão 4/4.",unidade,.42,"0,42",7500,3150,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),0.42,3150.0,7500.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,153296,"SERVIÇO DE CONFECÇÃO DE ADESIVO, Contratação de empresa especializada em serviço de confecção de Adesivo vinil auto aderente, com impressão digital.",m²,75,75,250,18750,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),75.0,18750.0,250.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,153991,"CERTIFICADO, Tamanho 32x22cm; Papel 220gm a 4gm; Impressão 4x0; Demais especificações conforme Termo de Referência. ",unidade,1.8,"1,8",750,1350,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),1.8,1350.0,750.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,153867,"ADESIVO, Tipo: vinil; Material: acrílico cristal; Personalização a ser definida pelo órgão solicitante; Dimensões: 5mm.",metro quadrado,400,400,75,30000,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),400.0,30000.0,75.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE ASSISTÊNCIA SOCIAL,MATERIAL GRÁFICO,Aguardando Homologação,147113,"SERVIÇO DE CONFECÇÃO DE FOLDER, Folders: papel couché 230g; Formato: 30,5 x 32,5; Impressão 4/4; 1 dobra. ",unidade,1.1,"1,1",7500,8250,Encerrado com Vencedor,D AVELINO BEZERRA LTDA (34.804.149/0001-45),1.1,8250.0,7500.0,34.804.149/0001-45,D AVELINO BEZERRA LTDA
CAE 001/26,FUNDO ESTADUAL DE PROTEÇAO E DEFESA CIVIL,CONT. DE EMPRESA P/ LOC. DE BANHEIROS,Homologado Total,151202,"SERVIÇOS DE LOCAÇÃO DE BANHEIROS QUÍMICOS, Tipo: para pessoas com deficiência - PCD; Confeccionado em material polietileno de alta densidade; Dimensões (AxP): 2,30m x 1,50m; Peso: 100kg; Conforme Termo de Referência.",diária,320,320,120,38400,Homologado,LOAH SERVICOS EMPRESARIAL LTDA (30.105.562/0001-60),320.0,38400.0,120.0,30.105.562/0001-60,LOAH SERVICOS EMPRESARIAL LTDA
CAE 001/26,FUNDO ESTADUAL DE SEGURANÇA PÚBLICA DO AMAZONAS,Aquisição de coletes balísticos.,Homologado Total,151944,"COLETE BALÍSTICO, Descrição: Proteção Nível III-A, para uso do Sistema de Segurança Pública; Material: flexível para que haja mobilidade; O painel balístico poderá ser composto por fibra de polietileno, por aramida ou por composição mista; Modelo: Feminino; Tamanho: grande (G), em conformidade com as normas exigidas pelo Ministério da Defesa - Exército Brasileiro; Os painéis balísticos frontais e dorsais deverão estar revestidos por uma capa de material sintético tipo (nylon) impermeável, no formato, modelo e tamanho das placas balísticas.",unidade,1405.31,"1405,31",10,"14053,1",Homologado,COPLATEX INDUSTRIA E COMERCIO DE TECIDOS S.A (14.533.049/0002-03),1405.31,14053.1,10.0,14.533.049/0002-03,COPLATEX INDUSTRIA E COMERCIO DE TECIDOS SA
CAE 001/26,FUNDO ESTADUAL DE SEGURANÇA PÚBLICA DO AMAZONAS,Aquisição de coletes balísticos.,Homologado Total,151942,"COLETE BALÍSTICO, Descrição: Proteção Nível III-A, para uso do Sistema de Segurança Pública; Material: flexível para que haja mobilidade; O painel balístico poderá ser composto por fibra de polietileno, por aramida ou por composição mista; Modelo: Feminino; Tamanho: pequeno (P), em conformidade com as normas exigidas pelo Ministério da Defesa - Exército Brasileiro; Os painéis balísticos frontais e dorsais deverão estar revestidos por uma capa de material sintético tipo (nylon) impermeável, no formato, modelo e tamanho das placas balísticas. ",unidade,1366.42,"1366,42",82,"112046,44",Homologado,COPLATEX INDUSTRIA E COMERCIO DE TECIDOS S.A (14.533.049/0002-03),1366.42,112046.44,82.0,14.533.049/0002-03,COPLATEX INDUSTRIA E COMERCIO DE TECIDOS SA
CAE 001/26,FUNDO ESTADUAL DE SEGURANÇA PÚBLICA DO AMAZONAS,Aquisição de coletes balísticos.,Homologado Total,151946,"COLETE BALÍSTICO, Descrição: Proteção Nível III-A, para uso do Sistema de Segurança Pública; Material: flexível para que haja mobilidade; O painel balístico poderá ser composto por fibra de polietileno, por aramida ou por composição mista; Modelo: Masculino; Tamanho: médio (M), em conformidade com as normas exigidas pelo Ministério da Defesa - Exército Brasileiro; Os painéis balísticos frontais e dorsais deverão estar revestidos por uma capa de material sintético tipo (nylon) impermeável, no formato, modelo e tamanho das placas balísticas. ",unidade,1665.99,"1665,99",1100,1832589,Homologado,COPLATEX INDUSTRIA E COMERCIO DE TECIDOS S.A (14.533.049/0002-03),1665.99,1832589.0,1100.0,14.533.049/0002-03,COPLATEX INDUSTRIA E COMERCIO DE TECIDOS SA
CAE 001/26,FUNDO ESTADUAL DE SEGURANÇA PÚBLICA DO AMAZONAS,Aquisição de coletes balísticos.,Homologado Total,151949,"COLETE BALÍSTICO, Descrição: Proteção Nível III-A, para uso do Sistema de Segurança Pública; Material: flexível para que haja mobilidade; O painel balístico poderá ser composto por fibra de polietileno, por aramida ou por composição mista; Modelo: Masculino; Tamanho: extra grande (GG), em conformidade com as normas exigidas pelo Ministério da Defesa - Exército Brasileiro; Os painéis balísticos frontais e dorsais deverão estar revestidos por uma capa de material sintético tipo (nylon) impermeável, no formato, modelo e tamanho das placas balísticas.",unidade,1560.88,"1560,88",10,"15608,8",Homologado,COPLATEX INDUSTRIA E COMERCIO DE TECIDOS S.A (14.533.049/0002-03),1560.88,15608.8,10.0,14.533.049/0002-03,COPLATEX INDUSTRIA E COMERCIO DE TECIDOS SA
CAE 001/26,FUNDO ESTADUAL DE SEGURANÇA PÚBLICA DO AMAZONAS,Aquisição de coletes balísticos.,Homologado Total,151943,"COLETE BALÍSTICO, Descrição: Proteção Nível III-A, para uso do Sistema de Segurança Pública; Material: flexível para que haja mobilidade; O painel balístico poderá ser composto por fibra de polietileno, por aramida ou por composição mista; Modelo: Feminino; Tamanho: médio (M), em conformidade com as normas exigidas pelo Ministério da Defesa - Exército Brasileiro; Os painéis balísticos frontais e dorsais deverão estar revestidos por uma capa de material sintético tipo (nylon) impermeável, no formato, modelo e tamanho das placas balísticas.",unidade,1519.25,"1519,25",60,91155,Homologado,COPLATEX INDUSTRIA E COMERCIO DE TECIDOS S.A (14.533.049/0002-03),1519.25,91155.0,60.0,14.533.049/0002-03,COPLATEX INDUSTRIA E COMERCIO DE TECIDOS SA
CAE 001/26,FUNDO ESTADUAL DE SEGURANÇA PÚBLICA DO AMAZONAS,Aquisição de coletes balísticos.,Homologado Total,151948,"COLETE BALÍSTICO, Descrição: Proteção Nível III-A, para uso do Sistema de Segurança Pública; Material: flexível para que haja mobilidade; O painel balístico poderá ser composto por fibra de polietileno, por aramida ou por composição mista; Modelo: Masculino; Tamanho: grande (G), em conformidade com as normas exigidas pelo Ministério da Defesa - Exército Brasileiro; Os painéis balísticos frontais e dorsais deverão estar revestidos por uma capa de material sintético tipo (nylon) impermeável, no formato, modelo e tamanho das placas balísticas. ",unidade,1592.23,"1592,23",222,"353475,06",Homologado,COPLATEX INDUSTRIA E COMERCIO DE TECIDOS S.A (14.533.049/0002-03),1592.23,353475.06,222.0,14.533.049/0002-03,COPLATEX INDUSTRIA E COMERCIO DE TECIDOS SA
CAE 001/26,INSTITUTO DE PROTEÇÃO AMBIENTAL DO ESTADO DO AMAZONAS,SERV. AGENCIAMENTO DE PASSAGENS  - IPAAM,Homologado Total,153302,"SERVIÇO DE AGENCIAMENTO DE VIAGENS, Contratação de empresa especializada para prestação de serviço de Seguro de Assistência em Viagem Internacional, conforme Termo de Referência.",unidade,438,438,2,876,Homologado,FERREIRA E SOBRINHO LTDA (19.533.891/0001-70),438.0,876.0,2.0,19.533.891/0001-70,FERREIRA E SOBRINHO LTDA
CAE 001/26,INSTITUTO DE PROTEÇÃO AMBIENTAL DO ESTADO DO AMAZONAS,SERV. AGENCIAMENTO DE PASSAGENS  - IPAAM,Homologado Total,118817,"SERVIÇO DE PASSAGEM AÉREA, Descrição: Aquisição de Passagens Aéreas, conforme Projeto Básico.",passagem,3000,3000,178,534000,Homologado,FERREIRA E SOBRINHO LTDA (19.533.891/0001-70),3000.0,534000.0,178.0,19.533.891/0001-70,FERREIRA E SOBRINHO LTDA
CAE 001/26,SECRETARIA DE ESTADO DE PROTECAO ANIMAL,AQUISIÇÃO DE AÇÚCAR,Homologado Total,146865,"AÇÚCAR, Tipo: cristal; Unidade de Fornecimento: pacote com 1 kg",pacote,4.05,"4,05",960,3888,Homologado,AFC COMERCIO E INDUSTRIA DE ALIMENTOS LTDA (18.880.097/0001-30),4.05,3888.0,960.0,18.880.097/0001-30,AFC COMERCIO E INDUSTRIA DE ALIMENTOS LTDA
CAE 001/26,AGÊNCIA REGULADORA DOS SERVIÇOS PÚBLICOS DELEGADOS E CONTRATADOS DO ESTADO DO AMAZONAS,LOCAÇÃO MÁQUINAS E EQUIPAMENTOS/ARSEPAM,Homologado Total,131806,"LOCAÇÃO DE CLIMATIZADOR, Contratação de empresa especializada para a prestação de serviço de locação de Climatizador de Ar; Largura do climatizador: 600 mm; Altura do climatizador: 550 mm; Profundidade do climatizador: 340 mm; Largura do pedestal 100/L: 1730 mm Altura do pedestal 100/L: 800 mm Profundidade do pedestal 100/L: 80 mm Capacidade: Alcance: 50m² Voltagem: 220v.",diária,350,350,4000,1400000,Homologado,LOAH SERVICOS EMPRESARIAL LTDA (30.105.562/0001-60),350.0,1400000.0,4000.0,30.105.562/0001-60,LOAH SERVICOS EMPRESARIAL LTDA
CAE 001/26,AGÊNCIA REGULADORA DOS SERVIÇOS PÚBLICOS DELEGADOS E CONTRATADOS DO ESTADO DO AMAZONAS,LOCAÇÃO MÁQUINAS E EQUIPAMENTOS/ARSEPAM,Homologado Total,152501,"LOCAÇÃO DE BANHEIRO QUIMÍCO, Contratação de empresa especializada em serviço de locação de banheiro químico para PORTADORES DE NECESSIDADES ESPECIAL, em material polietileno de alta densidade com as dimensões 2,30m de altura por 1,50m de profundidade, com peso de 100kg, conforme Projeto Básico.",unidade,320,320,4000,1280000,Homologado,LOAH SERVICOS EMPRESARIAL LTDA (30.105.562/0001-60),320.0,1280000.0,4000.0,30.105.562/0001-60,LOAH SERVICOS EMPRESARIAL LTDA
CAE 001/26,AGÊNCIA REGULADORA DOS SERVIÇOS PÚBLICOS DELEGADOS E CONTRATADOS DO ESTADO DO AMAZONAS,LOCAÇÃO MÁQUINAS E EQUIPAMENTOS/ARSEPAM,Homologado Total,114690,"SERVIÇOS DE LOCAÇÃO DE CONTAINER METÁLICO, Descrição: contratação de empresa especializada para prestação de serviço de locação de container com ar condicionado, conforme projeto básico.",Locação mensal,15200,15200,200,3040000,Homologado,LOAH SERVICOS EMPRESARIAL LTDA (30.105.562/0001-60),15200.0,3040000.0,200.0,30.105.562/0001-60,LOAH SERVICOS EMPRESARIAL LTDA
CAE 001/26,AGÊNCIA REGULADORA DOS SERVIÇOS PÚBLICOS DELEGADOS E CONTRATADOS DO ESTADO DO AMAZONAS,LOCAÇÃO MÁQUINAS E EQUIPAMENTOS/ARSEPAM,Homologado Total,134748,"SERVIÇOS DE LOCAÇÃO DE CONTAINER METÁLICO, Descrição: Contratação de empresa especializada para prestação de serviço de locação de container depósito, tamanho 6m, conforme projeto básico. ",diária,9500,9500,100,950000,Homologado,LOAH SERVICOS EMPRESARIAL LTDA (30.105.562/0001-60),9500.0,950000.0,100.0,30.105.562/0001-60,LOAH SERVICOS EMPRESARIAL LTDA
CAE 001/26,AGÊNCIA REGULADORA DOS SERVIÇOS PÚBLICOS DELEGADOS E CONTRATADOS DO ESTADO DO AMAZONAS,LOCAÇÃO MÁQUINAS E EQUIPAMENTOS/ARSEPAM,Homologado Total,135803,"SERVIÇO DE LOCAÇÃO DE CERCAS, GRADIS OU TAPUMES,  Descrição: Contratação de empresa especializada em locação de TAPUME; Material: Compensado;  Dimensões (A x E): 2,45m x 12mm; Pintado, cor a ser definida pelo órgão requisitante; Incluindo a instalação, conforme Projeto Básico.",metro,85,85,1692,143820,Homologado,LOAH SERVICOS EMPRESARIAL LTDA (30.105.562/0001-60),85.0,143820.0,1692.0,30.105.562/0001-60,LOAH SERVICOS EMPRESARIAL LTDA
